"3315","RENEGADES","X AMBASSADORS","2019-01-01 14:35:56"
"3316","HAPPIER","MARSHMELLO feat. BASTILLE","2019-01-01 14:37:27"
"3317","BACK TO YOU","SELENA GOMEZ","2019-01-01 14:41:30"
"3318","UP IN THE SKY","77 BOMBAY STREET","2019-01-01 14:45:03"
"3319","PUSH","LENNY KRAVITZ","2019-01-01 14:52:23"
"3320","HELLO","ADELE","2019-01-01 14:55:46"
"3321","BE ALRIGHT","DEAN LEWIS","2019-01-01 15:08:26"
"3322","ISSUES","JULIA MICHAELS","2019-01-01 15:10:43"
"3323","JANIE'S GOT A GUN","AEROSMITH","2019-01-01 15:12:29"
"3324","GIRLS LIKE YOU","MAROON 5 feat. CARDI B","2019-01-01 15:22:51"
"3325","POSTCARDS","JAMES BLUNT","2019-01-01 15:27:39"
"3326","ALL I AM","JESS GLYNNE","2019-01-01 15:33:59"
"3327","SHALLOW","LADY GAGA & BRADLEY COOPER","2019-01-01 15:44:42"
"3328","STRONGER (WHAT DOESN'T KILL YOU)","KELLY CLARKSON","2019-01-01 15:48:25"
"3329","SAY SOMETHING","JUSTIN TIMBERLAKE feat. CHRIS STAPLETON","2019-01-01 15:53:29"
"3330","SHOTGUN","GEORGE EZRA","2019-01-01 15:58:34"
"3331","HELL OR HIGH WATER","PASSENGER","2019-01-01 16:07:21"
"3332","STORY OF MY LIFE","ONE DIRECTION","2019-01-01 16:11:28"
"3333","BUILD A HOUSE","STEFANIE HEINZMANN feat. ALLE FARBEN","2019-01-01 16:15:48"
"3334","HYMN FOR THE WEEKEND","COLDPLAY feat. BEYONCÉ","2019-01-01 16:19:50"
"3335","DANCING ON MY OWN","CALUM SCOTT","2019-01-01 16:22:23"
"3336","SWEET BUT PSYCHO","AVA MAX","2019-01-01 16:26:11"
"3337","PYRO","KINGS OF LEON","2019-01-01 16:30:44"
"3338","BABY","CLEAN BANDIT feat. MARINA & LUIS FONSI","2019-01-01 16:34:21"
"3339","HEARTS ON FIRE","GAVIN JAMES","2019-01-01 16:36:55"
"3340","MY TYPE","SAINT MOTEL","2019-01-01 16:38:56"
"3341","LIKE I LOVE YOU","LOST FREQUENCIES feat. THE NGHBRS","2019-01-01 16:43:45"
"3342","HAPPINESS","JONATHAN JEREMIAH","2019-01-01 16:46:17"
"3343","JOHN DOE","B.O.B feat. PRISCILLA","2019-01-01 16:48:49"
"3344","WILD THOUGHTS","DJ KHALED feat. RIHANNA & BRYSON TILLER","2019-01-01 16:53:21"
"3345","HALCYON BIRDS","BROKEN BACK","2019-01-01 16:57:39"
"3346","SPEECHLESS","ROBIN SCHULZ feat. ERIKA SIROLA","2019-01-01 17:05:18"
"3347","LOVE SOUL MATTER","GOTTHARD","2019-01-01 17:08:20"
"3348","HEAD ABOVE WATER","AVRIL LAVIGNE","2019-01-01 17:12:38"
"3349","RED RED WINE","UB40","2019-01-01 17:16:15"
"3350","IN GOD'S HANDS","NELLY FURTADO","2019-01-01 17:21:19"
"3351","BONNIE & CLYDE","HEDGEHOG","2019-01-01 17:23:50"
"3352","GET OVER YOU","PEGASUS","2019-01-01 17:27:07"
"3353","SAFE","NICO SANTOS","2019-01-01 17:33:18"
"3354","VALERIE","MARK RONSON feat. AMY WINEHOUSE","2019-01-01 17:38:01"
"3355","RUN RUN","RAY BLK","2019-01-01 17:40:32"
"3356","DIESER WEG","XAVIER NAIDOO","2019-01-01 17:44:10"
"3357","BAD LIAR","IMAGINE DRAGONS","2019-01-01 17:46:10"
"3358","YOU'RE THE INSPIRATION","CHICAGO","2019-01-01 17:51:46"
"3359","WOLVES","SELENA GOMEZ & MARSHMELLO","2019-01-01 17:54:50"
"3360","SATELLITE","LENA MEYER-LANDRUT","2019-01-01 17:59:10"
"3361","THIS FEELING","THE CHAINSMOKERS feat. KELSEA BALLERINI","2019-01-01 18:05:20"
"3362","ANOTHER BRICK IN THE WALL (Part 2)","PINK FLOYD","2019-01-01 18:09:24"
"3363","I WON'T LET YOU GO","JAMES MORRISON","2019-01-01 18:12:01"
"3364","SURFER","HECHT","2019-01-01 18:16:07"
"3365","GALWAY GIRL","ED SHEERAN","2019-01-01 18:19:42"
"3366","WHATEVER YOU WANT (Clean)","P!NK","2019-01-01 18:21:44"
"3367","RISE","JONAS BLUE feat. JACK & JACK","2019-01-01 18:27:05"
"3368","PUMPED UP KICKS","FOSTER THE PEOPLE","2019-01-01 18:29:22"
